Date,SourceCommonName,Persons,Organizations,Locations,Counts,V2Tone,TranslationInfo
20250412020000,punchng.com,bola tinubu;fred itrua,,"5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;1#Benin#BN#BN#9.5#2.25#BN;4#Uromi, Edo, Nigeria#NI#NI37#6.70729#6.32843#10572694;5#Kano State, Kano, Nigeria#NI#NI29#11.5#8.5#-2014618",,"0.823045267489712,3.29218106995885,2.46913580246914,5.76131687242798,28.3950617283951,0,238",
20250412020000,punchng.com,bola tinubu;fred itrua,,"5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;1#Benin#BN#BN#9.5#2.25#BN;4#Uromi, Edo, Nigeria#NI#NI37#6.70729#6.32843#10572694;5#Kano State, Kano, Nigeria#NI#NI29#11.5#8.5#-2014618",,"0.823045267489712,3.29218106995885,2.46913580246914,5.76131687242798,28.3950617283951,0,238",
20250412050000,leadership.ng,usman h quadri;iyobosa uwugiaren;david babajide;austin osaku,nigerian guild;benin division;council of the nigeria union of journalists;programme development project;edo state agency for the;national assembly;supreme court;society magazine,"4#Lagos, Lagos, Nigeria#NI#NI05#6.45306#3.39583#-2017355;1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;1#Nigeria#NI#NI#10#8#NI",,"2.18068535825545,4.25752855659398,2.07684319833853,6.3343717549325,19.8338525441329,0.726895119418484,892",
20250115114500,dw.com,states africa,,1#France#FR#FR#46#2#FR;1#Benin#BN#BN#9.5#2.25#BN,,"3.77358490566038,4.40251572327044,0.628930817610063,5.0314465408805,20.125786163522,1.25786163522013,142",srclc:fra;eng:GT-FRA 1.0
20250115124500,thenationonlineng.net,jarret tenebe,peoples democratic party;zenith labour party;edo high court;action democratic party;democratic party;action alliance;peoples movement,"1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"-0.352112676056337,7.04225352112676,7.3943661971831,14.4366197183099,18.3098591549296,0.704225352112676,264",
20250115111500,gulf-times.com,amiri diwan,,,,"0,0,0,0,13.5593220338983,0,55",
20250115111500,gulf-times.com,amiri diwan,,,,"0,0,0,0,13.5593220338983,0,55",
20250115131500,lalibre.be,idriss deby itno;al qaeda,,"4#Moscow, Moskva, Russia#RS#RS48#55.7522#37.6156#-2960561;1#Algeria#AG#AG#28#3#AG;1#China#CH#CH#35#105#CH;1#Benin#BN#BN#9.5#2.25#BN;1#Syria#SY#SY#35#38#SY;1#Russia#RS#RS#60#100#RS;1#Italy#IT#IT#42.833333#12.833333#IT;1#Japan#JA#JA#36#138#JA;1#Gabon#GB#GB#-1#11.75#GB;1#Djibouti#DJ#DJ#11.5#42.5#DJ;4#Algiers, Alger, Algeria#AG#AG01#36.7631#3.05056#-458371;1#Senegal#SG#SG#14#-14#SG;1#Mali#ML#ML#17#-4#ML;1#France#FR#FR#46#2#FR;1#Niger#NG#NG#16#8#NG;1#Chad#CD#CD#15#19#CD;1#Burkina Faso#UV#UV#13#-2#UV",,"-4.59016393442623,1.47540983606557,6.0655737704918,7.54098360655738,20,0.163934426229508,580",srclc:fra;eng:GT-FRA 1.0
20250115140000,dailypost.ng,asue ighodalo;godfrey emode;jonathan okunbor;oseni rufai,financial crimes commission;peoples democratic party;eterno hotel,"1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"-5.31914893617021,1.77304964539007,7.09219858156028,8.86524822695035,20.7446808510638,1.24113475177305,528",
20250115140000,africa-newsroom.com,amiri diwan,ministry of foreign affairs;foreign affairs meets benin foreign,1#Benin#BN#BN#9.5#2.25#BN;1#Qatar#QA#QA#25.5#51.25#QA,,"0,0,0,0,13.4453781512605,0,102",
