GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1286866406,20260131,202601,2026,2026.0849,CVL,REPATRIATE,,,,,,CVL,,,,,,,,,,,,,0,071,071,07,2,7.4,10,1,10,3.79362670713201,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,0,,,,,,,,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,20260131183000,https://www.blackenterprise.com/minding-our-own-business-5-african-nations-diaspora-repatriation-movement/
1286866761,20260131,202601,2026,2026.0849,SLE,SIERRA LEONE,SLE,,,,,,,,,,,,,,,,,,1,081,081,08,2,5.0,10,1,10,3.79362670713201,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,0,,,,,,,,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,20260131183000,https://www.blackenterprise.com/minding-our-own-business-5-african-nations-diaspora-repatriation-movement/
1286891637,20260201,202602,2026,2026.0849,NGA,NIGERIAN,NGA,,,,,,,,,,,,,,,,,,1,0874,087,08,2,10.0,10,1,10,0.0,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260201001500,https://africalog.com/benin-retrait-des-troupes-nigerianes-du-camp-togbin/
1286875540,20260131,202601,2026,2026.0849,JUD,COUNSEL,,,,,,JUD,,,,,,,,,,,,,1,016,016,01,1,-2.0,3,1,3,-10.2631578947369,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260131203000,https://www.nationalaccordnewspaper.com/efcc-arraigns-man-for-alleged-n150m-fraud/
1286909947,20260201,202602,2026,2026.0849,COP,POLICE,,,,,,COP,,,CVL,COMMUNITY,,,,,,CVL,,,1,010,010,01,1,0.0,10,1,10,-12.206572769953,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260201054500,https://dailypost.ng/2026/02/01/police-arrest-six-suspected-cultists-in-edo-hotel/
1286909948,20260201,202602,2026,2026.0849,COP,POLICE,,,,,,COP,,,CVL,COMMUNITY,,,,,,CVL,,,1,173,173,17,4,-5.0,10,1,10,-12.206572769953,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260201054500,https://dailypost.ng/2026/02/01/police-arrest-six-suspected-cultists-in-edo-hotel/
1286909979,20260201,202602,2026,2026.0849,CRM,GANG,,,,,,CRM,,,SPY,INTELLIGENCE,,,,,,SPY,,,0,046,046,04,1,7.0,10,1,10,-12.206572769953,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260201054500,https://dailypost.ng/2026/02/01/police-arrest-six-suspected-cultists-in-edo-hotel/
1286910100,20260201,202602,2026,2026.0849,GOV,PUBLIC RELATIONS OFFICER,,,,,,GOV,,,NGA,BENIN CITY,NGA,,,,,,,,1,010,010,01,1,0.0,10,1,10,-12.206572769953,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260201054500,https://dailypost.ng/2026/02/01/police-arrest-six-suspected-cultists-in-edo-hotel/
1286910369,20260201,202602,2026,2026.0849,SPY,INTELLIGENCE,,,,,,SPY,,,CRM,GANG,,,,,,CRM,,,0,046,046,04,1,7.0,10,1,10,-12.206572769953,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260201054500,https://dailypost.ng/2026/02/01/police-arrest-six-suspected-cultists-in-edo-hotel/
1286855356,20260131,202601,2026,2026.0849,BEN,BENIN,BEN,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,010,010,01,1,0.0,8,1,8,2.86396181384248,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260131161500,https://www.graphic.com.gh/features/opinion/ghana-news-when-speed-came-to-ghana-influence-opportunity-and-the-work-that-must-follow.html
